in:dy_4,in:dx_0,in:dy_0,out:Displacement,out:Mass,img
-3,-1,-2,0.088775,230.790685,dy_4-3_dx_0-1_dy_0-2.png
-1.8,-1,-2,0.076429,218.115904,dy_4-1.8_dx_0-1_dy_0-2.png
-0.6,-1,-2,0.119379,222.230002,dy_4-0.6_dx_0-1_dy_0-2.png
0.6,-1,-2,0.113352,243.864055,dy_40.6_dx_0-1_dy_0-2.png
1.8,-1,-2,0.063054,280.519054,dy_41.8_dx_0-1_dy_0-2.png
3,-1,-2,0.059305,324.898673,dy_43_dx_0-1_dy_0-2.png
-3,-0.6,-2,0.088254,213.959383,dy_4-3_dx_0-0.6_dy_0-2.png
-1.8,-0.6,-2,0.068705,202.756085,dy_4-1.8_dx_0-0.6_dy_0-2.png
-0.6,-0.6,-2,0.106385,208.887932,dy_4-0.6_dx_0-0.6_dy_0-2.png
0.6,-0.6,-2,0.107032,231.848336,dy_40.6_dx_0-0.6_dy_0-2.png
1.8,-0.6,-2,0.061996,269.337951,dy_41.8_dx_0-0.6_dy_0-2.png
3,-0.6,-2,0.058787,314.271836,dy_43_dx_0-0.6_dy_0-2.png
-3,-0.2,-2,0.08695,198.253936,dy_4-3_dx_0-0.2_dy_0-2.png
-1.8,-0.2,-2,0.060738,189.162709,dy_4-1.8_dx_0-0.2_dy_0-2.png
-0.6,-0.2,-2,0.097659,197.509516,dy_4-0.6_dx_0-0.2_dy_0-2.png
0.6,-0.2,-2,0.10358,221.696159,dy_40.6_dx_0-0.2_dy_0-2.png
1.8,-0.2,-2,0.061592,259.901556,dy_41.8_dx_0-0.2_dy_0-2.png
3,-0.2,-2,0.058714,305.293975,dy_43_dx_0-0.2_dy_0-2.png
-3,0.2,-2,0.082674,183.592557,dy_4-3_dx_00.2_dy_0-2.png
-1.8,0.2,-2,0.054493,177.660294,dy_4-1.8_dx_00.2_dy_0-2.png
-0.6,0.2,-2,0.093619,188.213182,dy_4-0.6_dx_00.2_dy_0-2.png
0.6,0.2,-2,0.103151,213.412684,dy_40.6_dx_00.2_dy_0-2.png
1.8,0.2,-2,0.061881,252.17079,dy_41.8_dx_00.2_dy_0-2.png
3,0.2,-2,0.059087,297.906857,dy_43_dx_00.2_dy_0-2.png
-3,0.6,-2,0.065088,169.859018,dy_4-3_dx_00.6_dy_0-2.png
-1.8,0.6,-2,0.051853,168.772794,dy_4-1.8_dx_00.6_dy_0-2.png
-0.6,0.6,-2,0.094429,181.079477,dy_4-0.6_dx_00.6_dy_0-2.png
0.6,0.6,-2,0.105836,206.954741,dy_40.6_dx_00.6_dy_0-2.png
1.8,0.6,-2,0.062858,246.06302,dy_41.8_dx_00.6_dy_0-2.png
3,0.6,-2,0.059886,292.012182,dy_43_dx_00.6_dy_0-2.png
-3,1,-2,0.089448,78.461518,dy_4-3_dx_01_dy_0-2.png
-1.8,1,-2,0.05765,150.071999,dy_4-1.8_dx_01_dy_0-2.png
-0.6,1,-2,0.122463,150.014038,dy_4-0.6_dx_01_dy_0-2.png
0.6,1,-2,0.142003,163.070824,dy_40.6_dx_01_dy_0-2.png
1.8,1,-2,0.073382,189.242357,dy_41.8_dx_01_dy_0-2.png
3,1,-2,0.068662,222.206965,dy_43_dx_01_dy_0-2.png
-3,-1,-1.2,0.075898,216.734314,dy_4-3_dx_0-1_dy_0-1.2.png
-1.8,-1,-1.2,0.096789,194.335733,dy_4-1.8_dx_0-1_dy_0-1.2.png
-0.6,-1,-1.2,0.137373,192.572597,dy_4-0.6_dx_0-1_dy_0-1.2.png
0.6,-1,-1.2,0.107756,211.715595,dy_40.6_dx_0-1_dy_0-1.2.png
1.8,-1,-1.2,0.059801,247.270732,dy_41.8_dx_0-1_dy_0-1.2.png
3,-1,-1.2,0.056403,291.099006,dy_43_dx_0-1_dy_0-1.2.png
-3,-0.6,-1.2,0.067547,200.867195,dy_4-3_dx_0-0.6_dy_0-1.2.png
-1.8,-0.6,-1.2,0.092389,177.92123,dy_4-1.8_dx_0-0.6_dy_0-1.2.png
-0.6,-0.6,-1.2,0.113666,178.157034,dy_4-0.6_dx_0-0.6_dy_0-1.2.png
0.6,-0.6,-1.2,0.098755,199.094927,dy_40.6_dx_0-0.6_dy_0-1.2.png
1.8,-0.6,-1.2,0.058428,235.78215,dy_41.8_dx_0-0.6_dy_0-1.2.png
3,-0.6,-1.2,0.055827,280.333706,dy_43_dx_0-0.6_dy_0-1.2.png
-3,-0.2,-1.2,0.056035,186.901616,dy_4-3_dx_0-0.2_dy_0-1.2.png
-1.8,-0.2,-1.2,0.083857,163.135309,dy_4-1.8_dx_0-0.2_dy_0-1.2.png
-0.6,-0.2,-1.2,0.096292,166.017059,dy_4-0.6_dx_0-0.2_dy_0-1.2.png
0.6,-0.2,-1.2,0.093807,188.786119,dy_40.6_dx_0-0.2_dy_0-1.2.png
1.8,-0.2,-1.2,0.05805,226.487084,dy_41.8_dx_0-0.2_dy_0-1.2.png
3,-0.2,-1.2,0.055941,271.649842,dy_43_dx_0-0.2_dy_0-1.2.png
